Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
Russia,2014,Parkinson'S Disease,Genetic,0.38,12.48,4.22,61+,Male,511985.0,52.05,1.16,7.51,Therapy,48984.0,Yes,50.45,3534.0,6.86,11170.0,0.89,51.05
Argentina,2014,Zika,Bacterial,0.47,0.18,8.16,0-18,Male,545258.0,59.65,4.02,9.78,Vaccination,33297.0,Yes,55.65,3034.0,2.84,23663.0,0.76,61.48
China,2017,Tuberculosis,Respiratory,0.29,12.53,4.81,36-60,Female,31259.0,54.54,4.46,6.99,Vaccination,21057.0,No,56.31,3286.0,2.73,77562.0,0.67,79.19
Brazil,2019,Polio,Respiratory,0.28,0.56,5.21,0-18,Other,806169.0,51.55,4.96,0.52,Therapy,30489.0,Yes,95.4,4762.0,8.85,68567.0,0.62,58.77
Turkey,2023,Hepatitis,Cardiovascular,0.42,11.26,8.08,0-18,Male,104978.0,89.24,0.71,8.83,Therapy,850.0,No,98.15,3212.0,1.7,90661.0,0.85,37.77
Usa,2017,Cholera,Chronic,0.88,9.71,6.78,36-60,Other,683063.0,93.54,1.99,1.41,Medication,38465.0,Yes,65.36,4082.0,6.05,45252.0,0.71,86.35
India,2023,Dengue,Respiratory,0.99,2.55,5.91,19-35,Male,693509.0,97.02,3.23,1.56,Vaccination,15194.0,Yes,96.87,2246.0,6.81,76334.0,0.55,21.52
Argentina,2017,Ebola,Parasitic,0.8,12.51,7.32,0-18,Female,443306.0,82.23,0.65,7.68,Surgery,32879.0,Yes,96.08,742.0,8.88,98246.0,0.52,48.33
India,2021,Leprosy,Neurological,0.49,14.3,8.69,19-35,Other,736842.0,89.31,2.38,8.16,Vaccination,42350.0,No,61.2,2407.0,5.35,12264.0,0.78,68.15
Mexico,2014,Ebola,Bacterial,0.64,3.3,7.42,0-18,Female,324283.0,62.63,4.22,1.53,Vaccination,1506.0,No,64.99,3561.0,2.65,76875.0,0.54,45.67
India,2010,Ebola,Neurological,0.73,2.46,6.75,0-18,Other,569399.0,99.19,1.84,4.55,Vaccination,30982.0,No,67.72,3197.0,0.45,12445.0,0.5,53.23
Brazil,2016,Measles,Infectious,0.86,5.34,6.54,19-35,Female,367634.0,62.13,0.68,8.92,Medication,29434.0,No,60.89,2738.0,7.94,61645.0,0.81,53.28
South Korea,2011,Covid-19,Infectious,0.66,6.88,0.81,61+,Male,842517.0,58.84,4.1,6.41,Therapy,47494.0,No,79.74,1162.0,6.89,54707.0,0.47,81.05
Germany,2024,Ebola,Parasitic,0.5,0.33,3.8,19-35,Male,228577.0,58.85,3.01,8.19,Surgery,9523.0,No,71.99,1166.0,3.05,69027.0,0.53,40.7
Canada,2023,Tuberculosis,Autoimmune,0.84,8.93,3.39,36-60,Male,353229.0,55.8,2.04,4.43,Surgery,13086.0,No,93.51,4932.0,9.38,27284.0,0.82,43.36
South Korea,2023,Asthma,Neurological,0.81,10.42,5.43,61+,Female,218838.0,68.04,4.06,7.61,Vaccination,32715.0,Yes,67.82,4659.0,1.88,6230.0,0.42,65.3
Nigeria,2018,Cancer,Cardiovascular,0.19,0.15,6.53,61+,Other,381051.0,56.32,0.52,7.45,Therapy,35842.0,No,50.38,2889.0,4.41,64566.0,0.72,83.68
South Korea,2023,Ebola,Cardiovascular,0.15,2.55,5.38,36-60,Male,403652.0,94.75,3.52,4.42,Surgery,20426.0,Yes,76.66,3450.0,9.89,24229.0,0.5,60.47
Nigeria,2011,Asthma,Bacterial,0.69,7.39,4.07,36-60,Other,672981.0,55.83,4.25,6.08,Medication,28939.0,No,59.48,2504.0,6.52,58755.0,0.41,47.99
South Korea,2015,Leprosy,Bacterial,0.56,10.58,6.9,0-18,Female,206852.0,99.22,1.75,8.87,Medication,5703.0,No,81.54,31.0,7.5,10572.0,0.77,31.43
Brazil,2020,Diabetes,Neurological,0.2,1.76,5.12,19-35,Male,365828.0,98.54,2.54,4.04,Medication,18188.0,Yes,87.42,2662.0,7.46,51391.0,0.67,77.06
Canada,2017,Malaria,Parasitic,0.29,14.66,5.47,36-60,Male,391692.0,56.73,2.6,5.09,Medication,6952.0,Yes,86.81,437.0,9.77,69163.0,0.76,38.42
Turkey,2018,Malaria,Respiratory,0.23,11.15,7.27,0-18,Male,597385.0,63.87,3.88,8.39,Surgery,46973.0,Yes,79.97,147.0,4.94,82327.0,0.75,77.8
Italy,2017,Parkinson'S Disease,Cardiovascular,1.0,13.8,4.54,36-60,Male,284412.0,95.03,0.5,5.28,Therapy,1466.0,Yes,62.21,489.0,9.93,46202.0,0.6,44.21
Turkey,2016,Zika,Respiratory,0.27,10.46,1.22,19-35,Male,293512.0,64.13,2.79,3.65,Medication,47515.0,Yes,62.3,1152.0,0.39,82434.0,0.53,74.29
Argentina,2024,Covid-19,Bacterial,0.57,13.2,3.93,0-18,Male,902859.0,79.51,3.5,5.96,Medication,17553.0,No,75.13,1094.0,7.23,54511.0,0.69,65.02
Turkey,2021,Asthma,Genetic,0.44,1.24,7.64,19-35,Male,315605.0,57.09,0.71,2.01,Surgery,43167.0,No,98.94,4592.0,8.1,73194.0,0.89,27.63
Usa,2013,Cholera,Parasitic,0.8,1.64,0.33,61+,Male,293308.0,87.0,3.54,4.51,Vaccination,31452.0,No,58.54,2786.0,7.39,79341.0,0.65,52.16
Usa,2011,Measles,Autoimmune,0.58,11.37,5.87,19-35,Other,256517.0,59.78,3.5,0.55,Medication,25200.0,No,95.33,2119.0,7.78,57020.0,0.46,78.33
Uk,2014,Asthma,Bacterial,0.96,7.52,5.49,0-18,Other,456398.0,65.64,4.34,8.66,Therapy,32982.0,Yes,84.13,3199.0,2.83,78143.0,0.81,28.82
France,2017,Leprosy,Viral,0.9,1.52,6.35,61+,Other,882943.0,93.71,1.89,1.53,Medication,32437.0,Yes,69.08,2754.0,2.1,92623.0,0.62,70.48
Brazil,2024,Malaria,Genetic,0.39,4.94,8.01,0-18,Female,754689.0,77.07,3.53,1.42,Therapy,18875.0,No,91.71,664.0,3.77,96943.0,0.64,84.91
Nigeria,2022,Alzheimer'S Disease,Viral,0.69,1.38,8.02,61+,Other,473924.0,55.95,2.05,4.02,Therapy,14494.0,No,84.08,205.0,5.95,89722.0,0.6,22.32
Indonesia,2014,Measles,Cardiovascular,0.25,8.32,6.46,61+,Female,863730.0,90.97,4.31,4.73,Vaccination,22117.0,Yes,84.41,1060.0,0.14,59467.0,0.77,48.84
Saudi Arabia,2020,Dengue,Parasitic,0.57,0.78,9.21,61+,Female,44775.0,97.59,4.5,5.84,Therapy,47556.0,No,93.32,3423.0,0.2,51654.0,0.56,75.51
Uk,2014,Covid-19,Viral,0.39,1.0,1.46,19-35,Other,833868.0,67.25,1.85,7.81,Medication,24450.0,Yes,83.77,1986.0,7.37,2001.0,0.61,31.58
Brazil,2017,Parkinson'S Disease,Infectious,0.87,12.1,7.22,61+,Other,58126.0,91.79,3.34,8.04,Medication,36508.0,Yes,97.39,2260.0,4.06,4561.0,0.63,83.37
South Korea,2011,Hypertension,Bacterial,0.51,4.6,1.43,61+,Female,170428.0,84.43,3.49,8.29,Surgery,22141.0,Yes,81.28,3153.0,5.74,4351.0,0.55,74.92
Australia,2014,Covid-19,Neurological,0.97,13.91,9.26,0-18,Other,419828.0,72.31,1.68,4.36,Surgery,15466.0,Yes,79.84,4787.0,4.38,83515.0,0.79,50.65
Turkey,2010,Diabetes,Parasitic,0.33,5.07,0.94,36-60,Female,628415.0,93.85,4.5,5.41,Vaccination,4208.0,Yes,67.47,1824.0,4.83,28574.0,0.66,21.09
Russia,2020,Cholera,Bacterial,0.61,1.66,2.36,61+,Male,568045.0,60.03,2.6,2.26,Surgery,14673.0,Yes,61.92,2427.0,2.12,21081.0,0.82,60.63
Nigeria,2019,Leprosy,Autoimmune,0.63,4.25,0.69,19-35,Other,178722.0,99.6,1.24,2.97,Surgery,1707.0,Yes,52.1,3704.0,5.05,12907.0,0.8,56.23
Indonesia,2016,Hiv/Aids,Genetic,0.11,13.72,7.45,0-18,Other,728951.0,84.54,4.11,9.65,Medication,48533.0,No,67.96,4969.0,2.19,32757.0,0.44,86.2
Brazil,2015,Dengue,Parasitic,0.88,11.27,1.33,61+,Male,83993.0,66.45,4.43,3.95,Vaccination,37003.0,Yes,62.68,472.0,6.37,66328.0,0.52,45.61
Saudi Arabia,2014,Hiv/Aids,Autoimmune,0.14,6.73,4.78,36-60,Other,189512.0,81.71,2.85,9.91,Vaccination,30468.0,Yes,95.13,903.0,0.85,54725.0,0.63,41.68
Usa,2014,Covid-19,Viral,0.59,1.43,0.12,19-35,Female,516040.0,53.64,0.95,3.7,Vaccination,11432.0,No,65.13,2161.0,2.37,48289.0,0.47,45.3
South Africa,2021,Asthma,Chronic,0.51,12.68,9.99,61+,Other,117598.0,62.45,4.39,4.36,Medication,23791.0,No,91.57,4713.0,3.34,4546.0,0.64,74.86
Australia,2024,Polio,Metabolic,0.45,0.53,4.69,0-18,Female,722620.0,55.42,3.9,7.82,Therapy,28016.0,No,89.28,2435.0,9.5,1367.0,0.5,76.53
Argentina,2024,Malaria,Neurological,0.16,2.99,2.53,19-35,Other,586931.0,99.79,1.36,8.08,Medication,12339.0,No,74.49,2499.0,2.83,42167.0,0.45,53.87
Brazil,2011,Hiv/Aids,Respiratory,0.18,3.28,5.18,61+,Other,102420.0,61.73,4.57,3.65,Vaccination,2677.0,Yes,61.69,2996.0,3.06,87586.0,0.64,30.99
India,2023,Alzheimer'S Disease,Viral,0.21,6.92,8.34,36-60,Other,876750.0,62.04,0.56,1.88,Medication,1680.0,Yes,69.27,4602.0,0.38,64649.0,0.72,22.12
Brazil,2023,Covid-19,Bacterial,0.66,12.9,9.22,19-35,Male,264923.0,76.75,4.19,8.13,Therapy,43650.0,No,73.33,4455.0,1.78,4237.0,0.46,79.83
Mexico,2016,Diabetes,Infectious,0.42,4.36,1.46,19-35,Female,918852.0,67.41,0.85,9.82,Vaccination,16889.0,Yes,59.97,234.0,8.3,81306.0,0.55,57.04
France,2013,Rabies,Viral,0.3,12.28,3.04,19-35,Other,687403.0,53.67,4.1,5.16,Medication,28189.0,No,87.1,2230.0,4.43,86358.0,0.86,28.16
Canada,2016,Malaria,Metabolic,0.61,13.31,8.32,36-60,Other,952975.0,58.41,3.04,7.79,Surgery,5048.0,No,86.69,2969.0,7.64,82950.0,0.61,73.52
Germany,2021,Hypertension,Autoimmune,0.76,9.5,7.05,36-60,Male,465063.0,54.14,3.39,9.48,Therapy,34803.0,Yes,76.85,3453.0,9.98,52351.0,0.73,53.15
Indonesia,2024,Hiv/Aids,Parasitic,0.47,2.48,1.24,61+,Female,817617.0,64.24,2.15,8.02,Medication,12593.0,No,80.77,3392.0,9.15,43277.0,0.74,37.06
Indonesia,2024,Hypertension,Infectious,0.74,4.5,9.1,61+,Male,498233.0,92.73,4.17,6.82,Vaccination,1998.0,No,93.14,3123.0,1.94,99233.0,0.41,66.72
Russia,2015,Malaria,Parasitic,0.77,1.53,3.73,61+,Male,673923.0,87.65,1.87,5.05,Therapy,33662.0,No,69.39,1714.0,5.62,63214.0,0.58,48.77
Germany,2018,Diabetes,Parasitic,0.37,7.24,7.72,61+,Female,178998.0,60.34,0.53,4.17,Therapy,43074.0,No,90.35,2474.0,5.54,57028.0,0.67,36.49
Germany,2011,Rabies,Parasitic,0.92,14.39,6.65,19-35,Female,16309.0,72.95,0.8,6.83,Vaccination,30832.0,No,62.53,2956.0,4.78,68554.0,0.57,81.78
Saudi Arabia,2018,Cholera,Viral,0.91,12.61,2.58,61+,Other,464983.0,56.9,2.28,0.94,Therapy,24857.0,Yes,94.96,4447.0,7.18,46355.0,0.77,80.15
Germany,2020,Ebola,Cardiovascular,0.12,14.72,2.18,36-60,Female,766361.0,86.51,3.02,4.04,Medication,26943.0,Yes,71.58,3541.0,0.26,17868.0,0.42,78.3
South Korea,2014,Rabies,Viral,0.25,7.46,7.94,0-18,Other,396850.0,53.42,4.77,6.87,Therapy,42258.0,Yes,64.69,514.0,6.85,56573.0,0.42,85.23
Italy,2024,Leprosy,Bacterial,0.2,7.78,0.37,61+,Male,890994.0,55.53,1.86,6.26,Medication,22689.0,No,80.42,447.0,3.38,32496.0,0.4,69.02
Australia,2020,Polio,Neurological,0.13,12.17,3.91,19-35,Male,454154.0,60.34,2.12,7.37,Vaccination,11842.0,No,58.84,3496.0,8.83,39961.0,0.72,84.96
China,2022,Asthma,Viral,0.13,13.91,0.16,36-60,Male,615733.0,70.24,4.81,2.3,Surgery,33925.0,No,57.66,2819.0,2.6,44082.0,0.56,86.5
Russia,2015,Hypertension,Neurological,0.6,7.84,4.33,61+,Other,401226.0,71.81,2.15,7.99,Surgery,33988.0,No,68.13,1222.0,5.94,81902.0,0.42,85.35
Australia,2011,Cancer,Genetic,0.93,4.77,2.36,0-18,Male,312266.0,77.63,3.2,5.95,Medication,28667.0,Yes,75.92,2758.0,9.78,24671.0,0.81,25.94
Nigeria,2020,Parkinson'S Disease,Bacterial,0.7,3.5,2.03,0-18,Other,847427.0,58.67,2.43,7.52,Vaccination,18475.0,Yes,72.52,3134.0,5.7,76892.0,0.58,29.75
Japan,2024,Cholera,Neurological,0.57,13.46,8.89,36-60,Female,41348.0,90.16,0.67,1.83,Surgery,1821.0,No,54.29,1049.0,0.69,66081.0,0.51,20.6
France,2012,Cancer,Cardiovascular,0.29,6.86,0.83,36-60,Female,680315.0,67.57,0.86,4.21,Surgery,46998.0,No,98.46,818.0,7.66,43167.0,0.57,28.86
Uk,2014,Cholera,Parasitic,0.42,10.19,4.35,61+,Female,736388.0,53.08,3.44,6.02,Surgery,48510.0,No,76.43,2609.0,1.51,27079.0,0.57,36.15
Canada,2014,Cancer,Infectious,0.4,10.23,8.55,0-18,Male,37729.0,55.62,1.73,4.49,Medication,28234.0,No,90.24,173.0,5.44,27261.0,0.48,27.94
Saudi Arabia,2012,Zika,Infectious,0.11,0.49,2.27,36-60,Other,471368.0,64.09,4.64,1.81,Therapy,42938.0,Yes,54.3,966.0,4.14,97756.0,0.83,69.01
Nigeria,2020,Dengue,Chronic,0.18,6.33,9.61,36-60,Female,64095.0,83.83,3.03,6.87,Medication,8698.0,Yes,60.71,804.0,6.02,65494.0,0.87,73.65
Turkey,2023,Malaria,Parasitic,0.48,4.47,9.73,19-35,Other,662078.0,50.86,3.48,6.34,Medication,32721.0,No,95.36,1073.0,4.64,83248.0,0.71,63.63
Uk,2017,Hepatitis,Infectious,0.72,10.3,8.28,36-60,Other,137041.0,68.2,3.58,4.19,Therapy,36029.0,Yes,65.27,1932.0,3.16,69702.0,0.65,82.89
Canada,2021,Hiv/Aids,Chronic,0.9,11.66,0.86,19-35,Male,934466.0,62.22,4.23,2.7,Medication,7238.0,No,86.75,4758.0,4.46,24858.0,0.52,20.2
Italy,2022,Parkinson'S Disease,Chronic,0.79,9.42,2.24,0-18,Other,317999.0,51.62,1.78,9.65,Therapy,4793.0,Yes,62.15,1257.0,6.6,5501.0,0.89,35.31
Brazil,2018,Covid-19,Bacterial,0.71,9.1,1.58,61+,Male,517793.0,90.76,0.68,7.93,Surgery,13876.0,Yes,76.99,3188.0,3.63,87957.0,0.46,76.64
Mexico,2014,Parkinson'S Disease,Infectious,0.64,3.28,1.79,19-35,Female,115227.0,90.03,4.86,1.94,Medication,6997.0,Yes,51.44,2284.0,3.77,66204.0,0.61,80.54
Australia,2020,Hypertension,Neurological,0.52,12.73,9.4,0-18,Other,123710.0,56.74,4.53,4.7,Surgery,29706.0,No,50.74,1207.0,2.44,93820.0,0.82,25.56
Russia,2019,Hypertension,Bacterial,0.54,3.68,1.03,0-18,Other,986598.0,93.61,3.22,1.18,Therapy,1762.0,No,59.07,3104.0,5.48,5172.0,0.53,81.65
South Korea,2010,Hypertension,Genetic,0.38,3.87,2.2,19-35,Other,944093.0,63.38,3.28,4.6,Therapy,5085.0,Yes,86.26,258.0,1.64,4532.0,0.52,28.28
Russia,2013,Cholera,Parasitic,0.68,14.63,0.37,61+,Other,698105.0,62.21,1.2,4.29,Therapy,32776.0,No,60.15,4998.0,1.95,40088.0,0.56,56.3
Canada,2015,Hepatitis,Viral,0.52,7.21,5.51,0-18,Other,50028.0,96.82,1.35,8.72,Surgery,32441.0,No,72.64,610.0,9.07,68703.0,0.6,72.06
Mexico,2016,Leprosy,Autoimmune,0.43,6.6,5.66,19-35,Female,314944.0,65.77,2.15,0.85,Surgery,14637.0,No,92.34,3651.0,1.1,49772.0,0.6,86.92
Canada,2014,Dengue,Neurological,0.6,3.29,0.53,61+,Female,404290.0,52.7,3.93,6.96,Surgery,24916.0,No,77.37,1016.0,0.05,20953.0,0.78,44.19
Saudi Arabia,2010,Hypertension,Bacterial,0.82,0.39,8.59,61+,Female,250731.0,96.91,2.6,7.69,Therapy,12870.0,No,95.28,3149.0,5.26,7610.0,0.47,70.34
Usa,2023,Hepatitis,Metabolic,0.17,0.87,1.87,36-60,Female,686760.0,77.6,2.49,3.56,Vaccination,33413.0,No,76.19,19.0,9.64,85055.0,0.6,74.38
Argentina,2020,Cancer,Bacterial,0.81,2.99,3.6,36-60,Female,820162.0,82.82,3.56,6.79,Surgery,6247.0,No,89.68,1536.0,8.35,82934.0,0.66,46.92
France,2017,Measles,Infectious,0.59,5.25,5.56,36-60,Other,583267.0,96.89,4.84,4.1,Therapy,37795.0,Yes,90.21,2967.0,4.07,49181.0,0.89,40.67
Uk,2021,Hypertension,Neurological,0.25,0.75,0.81,19-35,Female,507079.0,69.28,3.11,5.26,Therapy,842.0,No,72.8,3885.0,4.96,17070.0,0.41,67.33
Canada,2011,Rabies,Metabolic,0.97,5.09,5.94,36-60,Male,412987.0,75.04,3.78,7.67,Vaccination,40584.0,No,53.11,467.0,1.86,31905.0,0.64,85.11
Turkey,2021,Hepatitis,Viral,0.64,12.38,0.16,0-18,Other,798019.0,91.22,2.99,2.16,Vaccination,18224.0,Yes,67.44,312.0,6.55,80521.0,0.53,45.23
Japan,2010,Ebola,Metabolic,0.41,3.15,0.55,0-18,Other,784699.0,70.53,4.79,0.59,Therapy,16898.0,No,86.04,4930.0,0.94,12735.0,0.84,76.83
Saudi Arabia,2022,Hepatitis,Autoimmune,0.97,2.7,2.7,0-18,Female,536578.0,84.26,1.47,9.06,Surgery,28500.0,Yes,61.57,4596.0,8.3,30998.0,0.6,20.24
Japan,2022,Leprosy,Chronic,0.62,4.74,6.88,0-18,Male,245097.0,98.88,3.61,2.81,Vaccination,20039.0,Yes,69.82,3369.0,6.02,32160.0,0.85,67.07
Usa,2022,Malaria,Viral,0.24,11.38,2.25,0-18,Male,604893.0,62.77,2.28,0.97,Surgery,21229.0,Yes,64.17,1712.0,1.78,13676.0,0.55,32.98
Italy,2010,Cancer,Metabolic,0.28,14.72,0.19,19-35,Male,393897.0,72.23,3.45,5.24,Vaccination,45851.0,Yes,70.18,1356.0,7.87,59362.0,0.66,35.55
Saudi Arabia,2021,Asthma,Viral,0.89,13.08,3.25,36-60,Male,457728.0,73.58,1.76,7.89,Surgery,17605.0,No,53.09,4697.0,4.71,93228.0,0.73,66.34
Argentina,2010,Tuberculosis,Genetic,0.52,5.89,0.17,36-60,Male,782870.0,50.48,2.14,5.27,Surgery,31931.0,Yes,76.34,2580.0,5.96,82122.0,0.58,27.89
China,2017,Hypertension,Infectious,0.72,10.9,9.66,61+,Male,525931.0,62.68,3.64,2.41,Surgery,10334.0,No,98.0,3426.0,6.38,84228.0,0.71,89.88
Turkey,2013,Hypertension,Bacterial,1.0,11.76,4.77,0-18,Male,218912.0,50.05,4.38,5.82,Surgery,6342.0,Yes,83.49,4417.0,1.66,90875.0,0.53,76.68
China,2020,Rabies,Bacterial,0.75,4.54,8.74,61+,Male,512372.0,58.1,1.23,2.97,Vaccination,31416.0,Yes,86.16,4844.0,0.57,77928.0,0.6,41.68
Brazil,2021,Leprosy,Autoimmune,0.91,4.66,6.68,36-60,Other,973765.0,69.63,3.97,9.12,Surgery,31620.0,Yes,71.1,3107.0,6.12,33459.0,0.65,84.16
Argentina,2013,Leprosy,Autoimmune,0.66,1.28,7.65,19-35,Female,554449.0,57.1,1.4,8.18,Medication,16045.0,No,62.97,853.0,1.36,41249.0,0.67,74.13
Mexico,2020,Leprosy,Infectious,0.22,0.31,3.8,61+,Male,80226.0,85.41,1.39,7.8,Surgery,28173.0,Yes,71.35,3564.0,0.92,86196.0,0.54,54.56
Russia,2024,Parkinson'S Disease,Autoimmune,0.17,13.23,1.23,61+,Male,78916.0,93.95,5.0,5.03,Surgery,12930.0,No,83.59,4799.0,9.61,98568.0,0.75,74.1
Uk,2020,Polio,Viral,0.66,1.88,2.25,19-35,Female,265623.0,51.77,1.72,9.91,Vaccination,33161.0,Yes,79.88,3616.0,6.81,83772.0,0.81,26.93
Canada,2013,Tuberculosis,Infectious,0.52,8.88,5.11,61+,Female,649671.0,88.17,2.99,7.38,Medication,27237.0,Yes,66.96,588.0,8.73,79226.0,0.61,83.93
Saudi Arabia,2010,Polio,Cardiovascular,0.88,5.13,4.97,61+,Male,866766.0,64.07,1.74,9.06,Vaccination,23838.0,No,58.63,1400.0,3.91,97781.0,0.66,85.57
Brazil,2021,Cholera,Neurological,0.92,8.87,6.83,61+,Female,383337.0,79.58,1.13,9.04,Surgery,11394.0,Yes,87.37,3081.0,4.47,83841.0,0.49,44.75
Nigeria,2015,Covid-19,Parasitic,0.92,1.86,9.37,61+,Female,83830.0,70.99,0.88,2.96,Vaccination,40614.0,No,88.37,3022.0,1.89,67420.0,0.61,55.64
Germany,2011,Covid-19,Genetic,0.94,6.43,5.01,61+,Other,873250.0,85.58,1.82,1.05,Therapy,40029.0,No,78.04,1464.0,0.14,3432.0,0.74,29.46
Saudi Arabia,2012,Ebola,Infectious,0.19,13.19,8.33,61+,Male,808344.0,65.13,4.62,5.55,Therapy,3271.0,No,89.34,2180.0,9.78,89876.0,0.87,28.88
China,2024,Alzheimer'S Disease,Cardiovascular,0.74,8.63,2.95,36-60,Other,781069.0,58.5,2.27,1.41,Medication,28812.0,No,57.58,2446.0,4.58,49471.0,0.66,22.69
Russia,2018,Polio,Viral,0.44,4.29,2.92,36-60,Male,170669.0,56.59,4.45,4.11,Medication,14375.0,No,51.17,2587.0,1.48,42099.0,0.4,88.3
China,2024,Cholera,Viral,0.56,11.39,9.67,61+,Female,690218.0,62.1,0.52,9.44,Surgery,639.0,Yes,73.72,4622.0,5.95,51897.0,0.56,69.24
Germany,2018,Hiv/Aids,Neurological,0.34,13.79,1.75,19-35,Other,511123.0,56.8,4.44,1.25,Vaccination,14909.0,No,74.59,28.0,0.46,59639.0,0.69,85.68
Mexico,2010,Hiv/Aids,Infectious,0.5,4.15,5.94,0-18,Female,76081.0,88.64,4.83,5.5,Surgery,20098.0,Yes,91.68,4524.0,0.14,47892.0,0.41,86.22
India,2023,Zika,Genetic,0.15,7.41,7.58,61+,Male,948546.0,99.73,0.67,4.85,Therapy,46342.0,Yes,87.17,812.0,2.03,8807.0,0.69,66.04
Canada,2019,Tuberculosis,Autoimmune,0.36,10.33,0.99,19-35,Female,16049.0,85.68,3.64,1.78,Vaccination,14670.0,Yes,98.94,3849.0,9.53,41631.0,0.55,89.25
India,2013,Zika,Neurological,0.63,4.93,3.36,36-60,Female,222017.0,89.2,2.39,9.45,Medication,44587.0,No,54.37,2182.0,4.39,96924.0,0.68,32.11
Turkey,2017,Asthma,Respiratory,0.88,1.13,0.71,36-60,Male,479512.0,89.43,2.75,7.43,Therapy,8469.0,No,72.84,2668.0,2.29,21146.0,0.86,32.37
India,2011,Malaria,Neurological,0.95,0.49,9.04,36-60,Male,987601.0,98.7,1.22,3.25,Surgery,18614.0,Yes,62.34,2960.0,7.94,21659.0,0.45,40.82
China,2019,Parkinson'S Disease,Respiratory,0.13,7.38,9.6,0-18,Male,896916.0,85.3,2.5,9.63,Medication,46935.0,Yes,78.5,4266.0,8.95,78466.0,0.4,27.54
Indonesia,2021,Dengue,Chronic,0.43,11.63,9.66,61+,Female,120290.0,52.8,3.34,5.27,Medication,30057.0,No,81.65,3339.0,4.37,98906.0,0.7,70.12
China,2024,Zika,Autoimmune,0.19,8.37,9.1,19-35,Other,851204.0,60.08,2.34,1.27,Vaccination,46643.0,No,92.24,4344.0,4.91,58433.0,0.53,54.1
Russia,2011,Ebola,Neurological,0.98,6.69,7.64,0-18,Female,633057.0,89.21,1.18,7.39,Therapy,30622.0,Yes,97.38,2901.0,4.29,75949.0,0.4,63.17
Australia,2020,Influenza,Chronic,0.65,3.97,3.23,0-18,Female,686217.0,94.26,2.51,4.81,Medication,45301.0,Yes,93.44,4734.0,7.0,80544.0,0.49,49.46
Argentina,2017,Ebola,Infectious,0.12,5.8,6.01,61+,Male,889200.0,88.48,1.78,5.09,Therapy,48932.0,No,80.94,1060.0,0.04,92740.0,0.66,89.89
France,2020,Zika,Cardiovascular,0.38,13.37,4.11,36-60,Male,240540.0,98.54,4.43,7.08,Therapy,26154.0,Yes,85.97,4559.0,9.32,83513.0,0.82,84.14
Germany,2024,Tuberculosis,Cardiovascular,0.22,7.71,2.74,19-35,Male,380686.0,83.3,1.58,2.43,Medication,31725.0,Yes,98.86,2445.0,2.85,43584.0,0.49,22.23
India,2011,Hepatitis,Neurological,0.96,2.4,8.0,19-35,Other,816417.0,82.45,3.06,9.19,Vaccination,16197.0,Yes,85.22,1866.0,1.45,96415.0,0.62,32.95
Mexico,2018,Malaria,Cardiovascular,0.16,5.13,3.37,19-35,Female,623715.0,83.31,4.31,8.67,Surgery,15672.0,No,55.58,3380.0,7.71,37546.0,0.5,66.01
Nigeria,2016,Dengue,Neurological,0.72,8.52,7.8,36-60,Female,726599.0,78.32,4.87,1.39,Surgery,25873.0,Yes,78.97,1641.0,4.04,99355.0,0.53,61.48
Brazil,2020,Zika,Respiratory,0.37,12.06,9.66,0-18,Other,83095.0,64.91,3.75,6.26,Medication,5778.0,Yes,78.18,4244.0,6.05,76295.0,0.41,86.89
Turkey,2014,Rabies,Genetic,0.58,10.61,1.0,0-18,Female,642133.0,82.29,1.06,2.08,Medication,25643.0,No,69.73,2965.0,5.87,64294.0,0.45,33.91
Uk,2022,Asthma,Parasitic,0.84,4.47,2.17,19-35,Male,970232.0,67.51,2.6,7.0,Therapy,16556.0,No,65.42,28.0,5.08,53046.0,0.57,21.54
Italy,2015,Hypertension,Genetic,0.39,9.12,0.65,61+,Other,34507.0,86.3,3.6,4.13,Surgery,36171.0,Yes,95.7,1207.0,5.19,85570.0,0.58,46.79
Argentina,2023,Hiv/Aids,Neurological,0.43,4.91,1.85,19-35,Other,105700.0,55.22,2.03,6.59,Medication,27875.0,No,68.55,475.0,8.53,63342.0,0.47,29.19
South Africa,2016,Parkinson'S Disease,Genetic,0.75,5.53,8.22,19-35,Other,999991.0,83.83,4.71,4.22,Vaccination,30088.0,No,87.28,820.0,5.13,5618.0,0.5,68.81
Nigeria,2015,Asthma,Infectious,0.57,2.16,4.84,36-60,Male,760132.0,87.07,4.97,7.12,Surgery,41070.0,Yes,66.51,1354.0,2.42,77691.0,0.52,44.1
Saudi Arabia,2018,Polio,Parasitic,0.32,11.84,2.51,36-60,Female,314630.0,57.21,3.43,3.58,Vaccination,17251.0,Yes,53.91,3469.0,9.01,63180.0,0.52,82.07
Brazil,2021,Hypertension,Chronic,0.99,13.18,5.83,36-60,Female,345890.0,69.4,3.85,7.34,Vaccination,3442.0,Yes,87.92,1062.0,6.34,63242.0,0.67,66.16
